姓氏： 张 	中签次数： 19029， 中签率： 4.4936% ，
姓氏： 童 	中签次数： 2297， 	 中签率： 0.5424% ，
姓氏： 林 	中签次数： 3200， 	 中签率： 0.7557% ，
姓氏： 徐 	中签次数： 14726， 中签率： 3.4775% ，
姓氏： 金 	中签次数： 5527， 	 中签率： 1.3052% ，
姓氏： 邹 	中签次数： 742， 	 中签率： 0.1752% ，
姓氏： 陈 	中签次数： 23514， 中签率： 5.5527% ，
姓氏： 孔 	中签次数： 1165， 	 中签率： 0.2751% ，
姓氏： 黄 	中签次数： 7919， 	 中签率： 1.87% ，
姓氏： 江 	中签次数： 1708， 	 中签率： 0.4033% ，
姓氏： 敖 	中签次数： 40， 	 中签率： 0.0094% ，
姓氏： 高 	中签次数： 4282， 	 中签率： 1.0112% ，
姓氏： 方 	中签次数： 7556， 	 中签率： 1.7843% ，
姓氏： 詹 	中签次数： 752， 	 中签率： 0.1776% ，
姓氏： 宋 	中签次数： 2380， 	 中签率： 0.562% ，
姓氏： 胡 	中签次数： 8219， 	 中签率： 1.9409% ，
姓氏： 姚 	中签次数： 3484， 	 中签率： 0.8227% ，
姓氏： 周 	中签次数： 11363， 中签率： 2.6833% ，
姓氏： 赵 	中签次数： 6276， 	 中签率： 1.482% ，
姓氏： 柳 	中签次数： 452， 	 中签率： 0.1067% ，
姓氏： 褚 	中签次数： 328， 	 中签率： 0.0775% ，
姓氏： 王 	中签次数： 26638， 中签率： 6.2904% ，
姓氏： 翁 	中签次数： 1211， 	 中签率： 0.286% ，
姓氏： 郭 	中签次数： 2613， 	 中签率： 0.617% ，
姓氏： 朱 	中签次数： 9351， 	 中签率： 2.2082% ，
姓氏： 叶 	中签次数： 5271， 	 中签率： 1.2447% ，
姓氏： 申 	中签次数： 734， 	 中签率： 0.1733% ，
姓氏： 谢 	中签次数： 2676， 	 中签率： 0.6319% ，
姓氏： 史 	中签次数： 594， 	 中签率： 0.1403% ，
姓氏： 柴 	中签次数： 542， 	 中签率： 0.128% ，
姓氏： 钱 	中签次数： 3142， 	 中签率： 0.742% ，
姓氏： 杨 	中签次数： 8350， 	 中签率： 1.9718% ，
姓氏： 吴 	中签次数： 11681， 中签率： 2.7584% ，
姓氏： 顾 	中签次数： 1408， 	 中签率： 0.3325% ，
姓氏： 董 	中签次数： 2491， 	 中签率： 0.5882% ，
姓氏： 沈 	中签次数： 9632， 	 中签率： 2.2745% ，
姓氏： 李 	中签次数： 15969， 中签率： 3.771% ，
姓氏： 刘 	中签次数： 8365， 	 中签率： 1.9753% ，
